session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
session_0003,0,0x0a38,,,,,,,,1
session_0003,798,0x0a38,,,,,,,,0
session_0003,1620,0x0a38,,,,,,,,0
session_0003,2451,0x0a38,,,,,,,,0
session_0003,3264,0x0a38,,,,,,,,0
session_0003,4086,0x0a38,,,,,,,,0
session_0003,4932,0x0a38,,,,,,,,0
session_0003,5745,0x0a38,,,,,,,,0
session_0003,6555,0x0a38,,,,,,,,0
session_0003,7370,0x0a38,,,,,,,,0
session_0003,8189,0x0a38,,,,,,,,0
session_0003,8987,0x0a38,,,,,,,,0
session_0003,9833,0x0a38,,,,,,,,0
session_0003,10630,0x0a38,,,,,,,,0
session_0003,11446,0x0a38,,,,,,,,0
session_0003,12239,0x0a38,,,,,,,,0
session_0003,13035,0x0a38,,,,,,,,0
session_0003,13845,0x0a38,,,,,,,,0
session_0003,14659,0x0a38,,,,,,,,0
session_0003,15484,0x0a38,,,,,,,,0
session_0003,16299,0x0a38,,,,,,,,0
session_0003,17127,0x0a38,,,,,,,,0
session_0003,17957,0x0a38,,,,,,,,0
session_0003,18774,heart_rate,,,,,,,0.000,0
session_0003,19610,breath_rate,,,,,,0.000,0.000,0
session_0003,20431,0x0a38,,,,,,0.000,0.000,0
session_0003,21253,0x0a38,,,,,,0.000,0.000,0
session_0003,22055,0x0a38,,,,,,0.000,0.000,0
session_0003,22873,0x0a38,,,,,,0.000,0.000,0
session_0003,23671,0x0a38,,,,,,0.000,0.000,0
session_0003,24493,0x0a38,,,,,,0.000,0.000,0
session_0003,25307,0x0a38,,,,,,0.000,0.000,0
session_0003,26144,0x0a38,,,,,,0.000,0.000,0
session_0003,26955,0x0a38,,,,,,0.000,0.000,0
session_0003,27762,0x0a38,,,,,,0.000,0.000,0
session_0003,28583,0x0a38,,,,,,0.000,0.000,0
session_0003,29390,0x0a38,,,,,,0.000,0.000,0
session_0003,30219,0x0a38,,,,,,0.000,0.000,0
session_0003,31025,0x0a38,,,,,,0.000,0.000,0
session_0003,31846,0x0a38,,,,,,0.000,0.000,0
session_0003,32668,0x0a38,,,,,,0.000,0.000,0
session_0003,33483,0x0a38,,,,,,0.000,0.000,0
session_0003,34300,0x0a38,,,,,,0.000,0.000,0
session_0003,35111,0x0a38,,,,,,0.000,0.000,0
session_0003,35920,0x0a38,,,,,,0.000,0.000,0
session_0003,36737,0x0a38,,,,,,0.000,0.000,0
session_0003,37542,0x0a38,,,,,,0.000,0.000,0
session_0003,38358,0x0a38,,,,,,0.000,0.000,0
session_0003,39181,0x0a38,,,,,,0.000,0.000,0
session_0003,40019,0x0a38,,,,,,0.000,0.000,0
session_0003,40847,0x0a38,,,,,,0.000,0.000,0
session_0003,41657,0x0a38,,,,,,0.000,0.000,0
session_0003,42461,0x0a38,,,,,,0.000,0.000,0
session_0003,43285,0x0a38,,,,,,0.000,0.000,0
session_0003,44108,0x0a38,,,,,,0.000,0.000,0
session_0003,44910,0x0a38,,,,,,0.000,0.000,0
session_0003,45735,0x0a38,,,,,,0.000,0.000,0
session_0003,46558,0x0a38,,,,,,0.000,0.000,0
session_0003,47371,0x0a38,,,,,,0.000,0.000,0
session_0003,48187,0x0a38,,,,,,0.000,0.000,0
session_0003,48994,0x0a38,,,,,,0.000,0.000,0
session_0003,49815,0x0a38,,,,,,0.000,0.000,0
session_0003,50628,0x0a38,,,,,,0.000,0.000,0
session_0003,51458,0x0a38,,,,,,0.000,0.000,0
session_0003,52295,0x0a38,,,,,,0.000,0.000,0
session_0003,53132,0x0a38,,,,,,0.000,0.000,0
session_0003,53944,0x0a38,,,,,,0.000,0.000,0
session_0003,54761,0x0a38,,,,,,0.000,0.000,0
session_0003,55575,0x0a38,,,,,,0.000,0.000,0
session_0003,56399,0x0a38,,,,,,0.000,0.000,0
session_0003,57212,human_status,0,,,,,0.000,0.000,0
session_0003,58022,0x0a38,0,,,,,0.000,0.000,0
session_0003,58833,0x0a38,0,,,,,0.000,0.000,0
session_0003,59672,0x0a38,0,,,,,0.000,0.000,0
session_0003,60488,0x0a38,0,,,,,0.000,0.000,0
session_0003,61328,0x0a38,0,,,,,0.000,0.000,0
session_0003,62131,0x0a38,0,,,,,0.000,0.000,0
session_0003,62954,0x0a38,0,,,,,0.000,0.000,0
session_0003,63790,0x0a38,0,,,,,0.000,0.000,0
session_0003,64604,0x0a38,0,,,,,0.000,0.000,0
session_0003,65420,0x0a38,0,,,,,0.000,0.000,0
session_0003,66236,0x0a38,0,,,,,0.000,0.000,0
session_0003,67052,0x0a38,0,,,,,0.000,0.000,0
session_0003,67861,0x0a38,0,,,,,0.000,0.000,0
session_0003,68678,0x0a38,0,,,,,0.000,0.000,0
session_0003,69504,0x0a38,0,,,,,0.000,0.000,0
session_0003,70337,0x0a38,0,,,,,0.000,0.000,0
session_0003,71145,0x0a38,0,,,,,0.000,0.000,0
session_0003,71988,0x0a38,0,,,,,0.000,0.000,0
session_0003,72804,0x0a38,0,,,,,0.000,0.000,0
session_0003,73618,0x0a38,0,,,,,0.000,0.000,0
session_0003,74436,0x0a38,0,,,,,0.000,0.000,0
session_0003,75254,0x0a38,0,,,,,0.000,0.000,0
session_0003,76058,0x0a38,0,,,,,0.000,0.000,0
session_0003,76876,0x0a38,0,,,,,0.000,0.000,0
session_0003,77695,0x0a38,0,,,,,0.000,0.000,0
session_0003,78515,heart_rate,0,,,,,0.000,0.000,0
session_0003,79342,0x0a38,0,,,,,0.000,0.000,0
session_0003,80148,0x0a38,0,,,,,0.000,0.000,0
session_0003,80960,target_range,0,,,,,0.000,0.000,0
session_0003,81777,human_status,0,,,,,0.000,0.000,0
session_0003,82613,phase,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,83457,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,84285,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,85129,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,85941,heart_rate,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,86762,heart_rate,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,87597,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,88431,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,89242,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,90040,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,90869,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,91671,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,92505,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,93306,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,94105,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,94938,heart_rate,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,95752,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,96587,breath_rate,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,97382,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,98205,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,99015,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
session_0003,99825,0x0a38,0,,0.000,0.000,0.000,0.000,0.000,0
